Title;Licensee;Released;Release Year;Release Month
Indiana Jones and the Last Crusade;Taito Software;March 1991;1991;03
Indiana Jones and the Last Crusade;UBI Soft;December 1993;1993;12
Indiana Jones and the Temple of Doom;Mindscape;December 1988;1988;12
Infiltrator;Mindscape;January 1990;1990;01
Iron Tank;SNK;July 1988;1988;07
IronSword: Wizards and Warriors II;Acclaim;December 1989;1989;12
Isolated Warrior;NTVIC;February 1991;1991;02
Ivan "Iron Man" Stewart's Super Off-Road;Tradewest;April 1990;1990;04
Jack Nicklaus' Major Championship Golf;Konami;March 1990;1990;03
Jackal;Konami;September 1988;1988;09
Jackie Chan's Action Kung Fu;Hudson Soft;December 1990;1990;12
James Bond Jr.;THQ;November 1992;1992;11
Jaws;LJN;November 1987;1987;11
Jeopardy!;Gametek;September 1988;1988;09
Jeopardy! 25th Silver Anniversary Edition;Gametek;June 1990;1990;06
Jeopardy! Jr. Edition;Gametek;October 1989;1989;10
Jetsons: Cogswell's Caper, The;Taito Software;December 1992;1992;12
Jimmy Connors Pro Tennis Tour;UBI Soft;November 1993;1993;11
Joe & Mac;Data East;December 1992;1992;12
John Elway's Quarterback;Tradewest;March 1989;1989;03
Jordan vs. Bird: One-on-One;Milton Bradley;August 1989;1989;08
Journey to Silius;Sunsoft;September 1990;1990;09
Joust;Hal America;October 1988;1988;10
Jungle Book, The;Virgin Interactive;August 1994;1994;08
Jurassic Park;Ocean;June 1993;1993;06
Kabuki: Quantum Fighter;Hal America;January 1991;1991;01
Karate Champ;Data East;November 1986;1986;11
Karate Kid;LJN;November 1987;1987;11
Karnov;Data East;January 1988;1988;01
Kick Master;Taito Software;January 1992;1992;01
Kickle Cubicle;Irem;September 1990;1990;09
Kid Icarus;Nintendo;July 1987;1987;07
Kid Klown in Night Mayor World;Kemco;April 1993;1993;04
Kid Kool;Vic Tokai;March 1990;1990;03
Kid Niki;Data East;November 1987;1987;11
King's Knight;Square Soft;September 1989;1989;09
